task_id,level,oracle_mode,xgb_config_id,delta_prauc_median,delta_prauc_p10,delta_prauc_p90,delta_prauc_std,delta_prauc_iqr,prauc_raw_median,prauc_oracle_median,ratio_scale_invariance_raw_median,ratio_scale_invariance_oracle_median,product_comp_invariance_raw_median,product_comp_invariance_oracle_median,iso_var_ratio_raw_median,iso_var_ratio_oracle_median,iso_var_product_raw_median,iso_var_product_oracle_median,dominance_train_mean_median,dominance_train_p90_median,dominance_test_mean_median,dominance_test_p90_median,n_runs,delta_prauc_pos_rate_frac_pos,delta_prauc_pos_rate_ci_lo,delta_prauc_pos_rate_ci_hi,delta_prauc_pos_rate_n_eff
l1_product,1,oracle_coords_only,baseline,0.0009581297212882672,-0.006308479197776079,0.2927697930027776,0.11844017057766015,0.008364703495348624,0.44236755101278663,0.45301141838502246,,,0.01346159048662521,0.004000515455007553,,,0.0005206401016208939,6.213353541553122e-05,,,,,18,0.6111111111111112,0.3861904160223791,0.7969475342783638,18.0
l1_product,1,oracle_coords_only,depth4_light,0.005331536919017277,-0.009615408050280265,0.30058467248909654,0.11952274912462242,0.01607018768690569,0.4417413242411782,0.4641638539701988,,,0.013114064930193126,0.002677859195135534,,,0.0005504631121836108,2.657350021411614e-05,,,,,18,0.6666666666666666,0.43749467295945105,0.837212252491663,18.0
l1_product,1,oracle_coords_only,depth7_high_capacity,0.007817609112482998,-0.011094491018566341,0.3107900305792568,0.12191549578404275,0.017280313374547107,0.43563663693593,0.4567346407667207,,,0.013157725382409991,0.00443631726205349,,,0.0004780759399528678,6.422787420332329e-05,,,,,18,0.6666666666666666,0.43749467295945105,0.837212252491663,18.0
l1_product,1,oracle_s_only,baseline,0.004634337833314711,-0.01034992968187569,0.3034953498427064,0.12029831387455724,0.013331094833351029,0.44236755101278663,0.45464346650334553,,,0.01346159048662521,0.004032563824998215,,,0.0005206401016208939,4.9630304851523485e-05,,,,,18,0.6111111111111112,0.3861904160223791,0.7969475342783638,18.0
l1_product,1,oracle_s_only,depth4_light,0.002573902844408074,-0.016105107372874617,0.3037810635037981,0.12143743611428605,0.025547181368446824,0.4417413242411782,0.458943740734599,,,0.013114064930193126,0.002655727069126442,,,0.0005504631121836108,1.897011587604389e-05,,,,,18,0.5555555555555556,0.33716415642042774,0.7544048187299437,18.0
l1_product,1,oracle_s_only,depth7_high_capacity,0.005279102823900525,-0.015833020703187352,0.30435867256655463,0.11879719971943847,0.022012249662904215,0.43563663693593,0.4467148537664174,,,0.013157725382409991,0.005186070578172802,,,0.0004780759399528678,7.045834526626352e-05,,,,,18,0.6666666666666666,0.43749467295945105,0.837212252491663,18.0
l1_ratio,1,oracle_coords_only,baseline,0.011781855627133131,-0.018158556021972094,0.07381053770780979,0.033715427338801264,0.024220952542632283,0.1481976224490646,0.20109848960259907,0.010922901535965503,0.001936819826066494,,,0.00019406073740470747,1.0973276141342063e-05,,,,,,,18,0.8333333333333334,0.6077796189608428,0.9416342319413856,18.0
l1_ratio,1,oracle_coords_only,depth4_light,0.0074271953684720005,-0.0058368962362716345,0.06276314233774172,0.03024993247991029,0.02770129432762137,0.16208977596589513,0.20899554638776646,0.011037618524348362,0.0018119016925804317,,,0.00021590950772478867,7.874281814124177e-06,,,,,,,18,0.7222222222222222,0.4912734343970254,0.8750024662044601,18.0
l1_ratio,1,oracle_coords_only,depth7_high_capacity,0.016809202162841638,-0.010304294175685196,0.0881832772087542,0.03890068771320782,0.032141335966387255,0.13624345304332164,0.20189453809271055,0.010522743585333227,0.0024122826508712024,,,0.0002119910144311483,1.3103057755842147e-05,,,,,,,18,0.7222222222222222,0.4912734343970254,0.8750024662044601,18.0
l1_ratio,1,oracle_s_only,baseline,0.012347383673864898,-0.007179625696017108,0.08690089212810595,0.036033382606601494,0.029857812229677407,0.1481976224490646,0.21253520731408682,0.010922901535965503,0.0020654876455664635,,,0.00019406073740470747,1.0605176079071988e-05,,,,,,,18,0.7777777777777778,0.5478541568378739,0.9099907189139831,18.0
l1_ratio,1,oracle_s_only,depth4_light,0.00853726886858347,-0.007972870333625972,0.06087890017136589,0.028885105113117412,0.028844166026274282,0.16208977596589513,0.21039219211653104,0.011037618524348362,0.0014279360972344875,,,0.00021590950772478867,4.739049170791413e-06,,,,,,,18,0.7222222222222222,0.4912734343970254,0.8750024662044601,18.0
l1_ratio,1,oracle_s_only,depth7_high_capacity,0.017405606110329833,-0.021377728278395985,0.1046345916991592,0.045137937865551064,0.03353923499396734,0.13624345304332164,0.20848419028628032,0.010522743585333227,0.0030486682064831258,,,0.0002119910144311483,1.9467028097099305e-05,,,,,,,18,0.6111111111111112,0.3861904160223791,0.7969475342783638,18.0
l2_product_of_sums,2,oracle_coords_only,baseline,0.01086111266462561,-0.0031429436548387367,0.14748006296686578,0.07434890768470434,0.018730963874246342,0.39415605784325103,0.4068037713033623,,,0.01381687207315117,0.004696529527753592,,,0.00042176816764936405,4.9299812869860266e-05,0.616334742333839,0.7338034471683486,0.6163583915909125,0.7336029790541916,18,0.7777777777777778,0.5478541568378739,0.9099907189139831,18.0
l2_product_of_sums,2,oracle_coords_only,depth4_light,0.009616646114733923,-0.005636531035257425,0.14010303024521054,0.07610165576758518,0.029948097487282957,0.40004302743558373,0.41471221031273986,,,0.011604366366937756,0.0034021060748666058,,,0.0005312782524174138,3.0263021628262456e-05,0.616334742333839,0.7338034471683486,0.6163583915909125,0.7336029790541916,18,0.8333333333333334,0.6077796189608428,0.9416342319413856,18.0
l2_product_of_sums,2,oracle_coords_only,depth7_high_capacity,0.01140921102863815,0.0005627804513451914,0.15384015941326376,0.07389939543064501,0.025113435179295217,0.39378453151939974,0.4112115248577791,,,0.013852137903403491,0.004940112503059208,,,0.0005715000563918931,6.340074043412933e-05,0.616334742333839,0.7338034471683486,0.6163583915909125,0.7336029790541916,18,0.8888888888888888,0.672002348698212,0.9689804773543876,18.0
l2_product_of_sums,2,oracle_s_only,baseline,0.01205605484980482,-0.0025525569088067053,0.15176305138971816,0.08061699367689751,0.017883495854299093,0.39415605784325103,0.4168989169158399,,,0.01381687207315117,0.004651749462634325,,,0.00042176816764936405,6.943608892702181e-05,0.616334742333839,0.7338034471683486,0.6163583915909125,0.7336029790541916,18,0.8888888888888888,0.672002348698212,0.9689804773543876,18.0
l2_product_of_sums,2,oracle_s_only,depth4_light,0.007373771135214396,-0.006106756965888464,0.14341530275803432,0.07836796530407525,0.03848458475715176,0.40004302743558373,0.40644753462200534,,,0.011604366366937756,0.002308325850404799,,,0.0005312782524174138,1.6049174492138568e-05,0.616334742333839,0.7338034471683486,0.6163583915909125,0.7336029790541916,18,0.6666666666666666,0.43749467295945105,0.837212252491663,18.0
l2_product_of_sums,2,oracle_s_only,depth7_high_capacity,0.013198197295385364,-0.0023052180042287375,0.14781675103868838,0.07616028122267504,0.026971386543236484,0.39378453151939974,0.4141226980499223,,,0.013852137903403491,0.005215692481026053,,,0.0005715000563918931,7.042295721289849e-05,0.616334742333839,0.7338034471683486,0.6163583915909125,0.7336029790541916,18,0.8333333333333334,0.6077796189608428,0.9416342319413856,18.0
l2_ratio_of_sums,2,oracle_coords_only,baseline,0.017519366310638877,-0.0038106757889186794,0.05485114783497492,0.0321346718024205,0.03803544384250716,0.09077961134670491,0.1293549715081443,0.009471022742334754,0.0010648290388286113,,,0.00013697886465121646,5.516169568077435e-06,,,0.615802221438706,0.7334799232396627,0.6163596507718605,0.7336400462686874,18,0.7777777777777778,0.5478541568378739,0.9099907189139831,18.0
l2_ratio_of_sums,2,oracle_coords_only,depth4_light,0.015016268896150792,-0.0028222706406861734,0.062049438295693676,0.03099584254388308,0.032187913275880095,0.09404209261585313,0.1334357605252197,0.009494561515003441,0.000938129435479641,,,0.00014315441306678658,3.2940821945550217e-06,,,0.615802221438706,0.7334799232396627,0.6163596507718605,0.7336400462686874,18,0.7222222222222222,0.4912734343970254,0.8750024662044601,18.0
l2_ratio_of_sums,2,oracle_coords_only,depth7_high_capacity,0.023747517830777026,0.002533286305692019,0.054322075876450646,0.022393275522476913,0.03649920921200108,0.08605682168905282,0.12080253631304536,0.009385990660917014,0.0026200620707124474,,,0.00016459312201874655,1.4898681261724146e-05,,,0.615802221438706,0.7334799232396627,0.6163596507718605,0.7336400462686874,18,1.0,0.8241207763533425,1.0,18.0
l2_ratio_of_sums,2,oracle_s_only,baseline,0.022323040686380725,0.00031278991204243577,0.05394091010037563,0.027193629112789375,0.03300166327405976,0.09077961134670491,0.129060895021677,0.009471022742334754,0.0019309236983768641,,,0.00013697886465121646,8.804269073408361e-06,,,0.615802221438706,0.7334799232396627,0.6163596507718605,0.7336400462686874,18,0.8888888888888888,0.672002348698212,0.9689804773543876,18.0
l2_ratio_of_sums,2,oracle_s_only,depth4_light,0.017638707725069112,-0.00619269821560927,0.0574343915373204,0.03227102838946853,0.03672160183219854,0.09404209261585313,0.12331574606339696,0.009494561515003441,0.0005023640744388103,,,0.00014315441306678658,9.630417420505233e-07,,,0.615802221438706,0.7334799232396627,0.6163596507718605,0.7336400462686874,18,0.7222222222222222,0.4912734343970254,0.8750024662044601,18.0
l2_ratio_of_sums,2,oracle_s_only,depth7_high_capacity,0.020189291823514935,-0.006517146367103653,0.055594839048007855,0.02439473324016937,0.03707937150109641,0.08605682168905282,0.11864575736169677,0.009385990660917014,0.0021356372436508535,,,0.00016459312201874655,1.235077581315832e-05,,,0.615802221438706,0.7334799232396627,0.6163596507718605,0.7336400462686874,18,0.8333333333333334,0.6077796189608428,0.9416342319413856,18.0
